Please provide a delta value: 0.001
i,	x[i],	Artanh1_x[i],	Artanh2_x[i],	difference
0,	-0.900000,	-1.469080,	-1.472219,	-3.139143798e-03
1,	-0.890000,	-1.419307,	-1.421926,	-2.619305170e-03
2,	-0.880000,	-1.373468,	-1.375768,	-2.299702511e-03
3,	-0.870000,	-1.330955,	-1.333080,	-2.124786225e-03
4,	-0.860000,	-1.291278,	-1.293345,	-2.066825679e-03
5,	-0.850000,	-1.254723,	-1.256153,	-1.430216218e-03
6,	-0.840000,	-1.219673,	-1.221174,	-1.500998727e-03
7,	-0.830000,	-1.186475,	-1.188136,	-1.661496488e-03
8,	-0.820000,	-1.155613,	-1.156817,	-1.204913850e-03
9,	-0.810000,	-1.125586,	-1.127029,	-1.442950701e-03
10,	-0.800000,	-1.097542,	-1.098612,	-1.070590582e-03
11,	-0.790000,	-1.070638,	-1.071432,	-7.932062207e-04
12,	-0.780000,	-1.044315,	-1.045371,	-1.055586736e-03
13,	-0.770000,	-1.019528,	-1.020328,	-8.001045047e-04
14,	-0.760000,	-0.995610,	-0.996215,	-6.053844402e-04
15,	-0.750000,	-0.972056,	-0.972955,	-8.993303643e-04
16,	-0.740000,	-0.949783,	-0.950479,	-6.964427036e-04
17,	-0.730000,	-0.928189,	-0.928727,	-5.382624948e-04
18,	-0.720000,	-0.907230,	-0.907645,	-4.151229586e-04
19,	-0.710000,	-0.886473,	-0.887184,	-7.109700353e-04
20,	-0.700000,	-0.866739,	-0.867301,	-5.616904032e-04
21,	-0.690000,	-0.847513,	-0.847956,	-4.427776873e-04
22,	-0.680000,	-0.828766,	-0.829114,	-3.482234883e-04
23,	-0.670000,	-0.810470,	-0.810743,	-2.731836203e-04
24,	-0.660000,	-0.792253,	-0.792814,	-5.605937265e-04
25,	-0.650000,	-0.774848,	-0.775299,	-4.511949463e-04
26,	-0.640000,	-0.757811,	-0.758174,	-3.622607554e-04
27,	-0.630000,	-0.741126,	-0.741416,	-2.901111207e-04
28,	-0.620000,	-0.724773,	-0.725005,	-2.317060675e-04
29,	-0.610000,	-0.708737,	-0.708921,	-1.845368161e-04
30,	-0.600000,	-0.693001,	-0.693147,	-1.465353402e-04
31,	-0.590000,	-0.677276,	-0.677666,	-3.901436134e-04
32,	-0.580000,	-0.662144,	-0.662463,	-3.186801664e-04
33,	-0.570000,	-0.647263,	-0.647523,	-2.595749878e-04
34,	-0.560000,	-0.632622,	-0.632833,	-2.108095171e-04
35,	-0.550000,	-0.618211,	-0.618381,	-1.706778652e-04
36,	-0.540000,	-0.604018,	-0.604156,	-1.377404143e-04
37,	-0.530000,	-0.590034,	-0.590145,	-1.107841442e-04
38,	-0.520000,	-0.576251,	-0.576340,	-8.878870359e-05
39,	-0.510000,	-0.562659,	-0.562730,	-7.089739218e-05
40,	-0.500000,	-0.549250,	-0.549306,	-5.639234993e-05
41,	-0.490000,	-0.535835,	-0.536060,	-2.256081932e-04
42,	-0.480000,	-0.522799,	-0.522984,	-1.855291710e-04
43,	-0.470000,	-0.509918,	-0.510070,	-1.520224917e-04
44,	-0.460000,	-0.497187,	-0.497311,	-1.240980655e-04
45,	-0.450000,	-0.484599,	-0.484700,	-1.009025896e-04
46,	-0.440000,	-0.472149,	-0.472231,	-8.170211710e-05
47,	-0.430000,	-0.459831,	-0.459897,	-6.586671776e-05
48,	-0.420000,	-0.447639,	-0.447692,	-5.285698278e-05
49,	-0.410000,	-0.435569,	-0.435611,	-4.221215830e-05
50,	-0.400000,	-0.423615,	-0.423649,	-3.353971741e-05
51,	-0.390000,	-0.411774,	-0.411800,	-2.650620343e-05
